TitleText: Sample histogram                                                                                                            
XLabel: values                                                                                                                         
YLabel: count                                                                                                                          
YRange: 0.0,100.0                                                                                                                      
BarGraph: 0.5,0.15                                                                                                                     
BinWidth: 1.0                                                                                                                          
BinOffset: 0.5
Color: on
NumSets: 10                                                                                                                 

Dataset: 1
0.0 5.0
1.0 4.938441702975688
2.0 4.755282581475768
3.0 4.455032620941839
4.0 4.045084971874737
5.0 3.5355339059327378
6.0 2.938926261462366
7.0 2.269952498697734
8.0 1.5450849718747373
9.0 0.7821723252011547
10.0 3.061515884555943E-16
11.0 -0.7821723252011529
12.0 -1.5450849718747368
13.0 -2.2699524986977337
14.0 -2.9389262614623655
15.0 -3.5355339059327373
16.0 -4.045084971874737
17.0 -4.455032620941839
18.0 -4.755282581475767
19.0 -4.938441702975688
20.0 -5.0
21.0 -4.938441702975688
22.0 -4.755282581475769
23.0 -4.455032620941839
24.0 -4.045084971874737
25.0 -3.535533905932738
26.0 -2.9389262614623664
27.0 -2.2699524986977346
28.0 -1.545084971874738
29.0 -0.7821723252011552
30.0 -9.18454765366783E-16
31.0 0.7821723252011534
32.0 1.5450849718747361
33.0 2.269952498697733
34.0 2.938926261462365
35.0 3.535533905932737
36.0 4.045084971874736
37.0 4.4550326209418385
38.0 4.755282581475767
39.0 4.938441702975688
40.0 5.0
41.0 4.938441702975689
42.0 4.755282581475768
43.0 4.45503262094184
44.0 4.045084971874741
45.0 3.5355339059327386
46.0 2.938926261462367
47.0 2.269952498697731
48.0 1.5450849718747386
49.0 0.7821723252011602
50.0 1.5307579422779716E-15
51.0 -0.7821723252011484
52.0 -1.5450849718747357
53.0 -2.2699524986977364
54.0 -2.938926261462364
55.0 -3.5355339059327395
56.0 -4.045084971874736
57.0 -4.455032620941837
58.0 -4.755282581475767
59.0 -4.9384417029756875
60.0 -5.0
61.0 -4.938441702975688
62.0 -4.755282581475768
63.0 -4.4550326209418385
64.0 -4.045084971874738
65.0 -3.535533905932742
66.0 -2.9389262614623672
67.0 -2.26995249869774
68.0 -1.545084971874739
69.0 -0.7821723252011521
70.0 -2.1430611191891602E-15
71.0 0.7821723252011565
72.0 1.545084971874735
73.0 2.269952498697728
74.0 2.9389262614623637
75.0 3.535533905932733
76.0 4.0450849718747355
77.0 4.45503262094184
78.0 4.755282581475767
79.0 4.938441702975689
80.0 5.0
81.0 4.938441702975689
82.0 4.755282581475772
83.0 4.4550326209418385
84.0 4.045084971874739
85.0 3.5355339059327364
86.0 2.9389262614623677
87.0 2.2699524986977404
88.0 1.5450849718747481
89.0 0.7821723252011527
90.0 2.755364296100349E-15
91.0 -0.7821723252011472
92.0 -1.5450849718747344
93.0 -2.2699524986977275
94.0 -2.9389262614623703
95.0 -3.5355339059327386
96.0 -4.0450849718747355
97.0 -4.455032620941836
98.0 -4.755282581475764
99.0 -4.938441702975688
100.0 -5.0

Dataset:2
0.0 4.5
1.0 4.46451615591515
2.0 4.35862422507884
3.0 4.183994186497132
4.0 3.943380060197386
5.0 3.6405764746872635
6.0 3.280358823396352
7.0 2.8684079538691036
8.0 2.4112205774054845
9.0 1.9160068120428269
10.0 1.3905764746872635
11.0 0.8432159156357613
12.0 0.28255733788191084
13.0 -0.2825573378819103
14.0 -0.8432159156357607
15.0 -1.3905764746872622
16.0 -1.9160068120428273
17.0 -2.411220577405486
18.0 -2.8684079538691036
19.0 -3.280358823396351
20.0 -3.640576474687263
21.0 -3.9433800601973865
22.0 -4.183994186497131
23.0 -4.35862422507884
24.0 -4.46451615591515
25.0 -4.5
26.0 -4.46451615591515
27.0 -4.35862422507884
28.0 -4.183994186497132
29.0 -3.943380060197386
30.0 -3.640576474687265
31.0 -3.280358823396353
32.0 -2.868407953869103
33.0 -2.4112205774054836
34.0 -1.9160068120428246
35.0 -1.3905764746872642
36.0 -0.8432159156357608
37.0 -0.2825573378819094
38.0 0.28255733788190773
39.0 0.8432159156357593
40.0 1.3905764746872626
41.0 1.9160068120428233
42.0 2.4112205774054853
43.0 2.868407953869102
44.0 3.2803588233963508
45.0 3.6405764746872626
46.0 3.9433800601973843
47.0 4.183994186497132
48.0 4.358624225078839
49.0 4.46451615591515
50.0 4.5
51.0 4.464516155915151
52.0 4.35862422507884
53.0 4.183994186497131
54.0 3.943380060197387
55.0 3.640576474687264
56.0 3.280358823396352
57.0 2.8684079538691063
58.0 2.411220577405484
59.0 1.9160068120428289
60.0 1.3905764746872684
61.0 0.8432159156357614
62.0 0.28255733788191395
63.0 -0.2825573378819112
64.0 -0.8432159156357626
65.0 -1.390576474687262
66.0 -1.91600681204283
67.0 -2.411220577405485
68.0 -2.8684079538691076
69.0 -3.280358823396353
70.0 -3.6405764746872626
71.0 -3.943380060197388
72.0 -4.183994186497132
73.0 -4.358624225078839
74.0 -4.464516155915151
75.0 -4.5
76.0 -4.464516155915151
77.0 -4.35862422507884
78.0 -4.183994186497133
79.0 -3.9433800601973856
80.0 -3.6405764746872644
81.0 -3.280358823396355
82.0 -2.86840795386911
83.0 -2.411220577405481
84.0 -1.9160068120428257
85.0 -1.390576474687265
86.0 -0.8432159156357658
87.0 -0.2825573378819185
88.0 0.2825573378819067
89.0 0.843215915635762
90.0 1.3905764746872615
91.0 1.9160068120428222
92.0 2.411220577405478
93.0 2.868407953869101
94.0 3.2803588233963525
95.0 3.640576474687262
96.0 3.9433800601973834
97.0 4.183994186497131
98.0 4.358624225078839
99.0 4.464516155915151
100.0 4.5



Dataset:3
0.0 4.0
1.0 3.978087581473093
2.0 3.9125904029352228
3.0 3.804226065180614
4.0 3.6541818305704035
5.0 3.464101615137755
6.0 3.23606797749979
7.0 2.972579301909577
8.0 2.676522425435433
9.0 2.3511410091698925
10.0 2.0000000000000004
11.0 1.6269465723032015
12.0 1.2360679774997898
13.0 0.8316467632710369
14.0 0.41811385307061383
15.0 1.1330996904646007E-15
16.0 -0.41811385307061333
17.0 -0.8316467632710374
18.0 -1.2360679774997894
19.0 -1.6269465723032002
20.0 -1.9999999999999991
21.0 -2.351141009169892
22.0 -2.6765224254354316
23.0 -2.972579301909576
24.0 -3.2360679774997894
25.0 -3.464101615137755
26.0 -3.654181830570404
27.0 -3.804226065180614
28.0 -3.9125904029352228
29.0 -3.9780875814730936
30.0 -4.0
31.0 -3.9780875814730936
32.0 -3.9125904029352228
33.0 -3.8042260651806146
34.0 -3.6541818305704035
35.0 -3.4641016151377553
36.0 -3.2360679774997902
37.0 -2.972579301909577
38.0 -2.676522425435434
39.0 -2.351141009169893
40.0 -2.0000000000000018
41.0 -1.6269465723032035
42.0 -1.2360679774997902
43.0 -0.8316467632710391
44.0 -0.41811385307061694
45.0 -7.347638122934264E-16
46.0 0.41811385307061194
47.0 0.8316467632710377
48.0 1.236067977499789
49.0 1.626946572303199
50.0 2.0000000000000004
51.0 2.3511410091698917
52.0 2.676522425435434
53.0 2.972579301909577
54.0 3.2360679774997894
55.0 3.4641016151377553
56.0 3.654181830570404
57.0 3.804226065180614
58.0 3.9125904029352228
59.0 3.978087581473093
60.0 4.0
61.0 3.9780875814730936
62.0 3.912590402935223
63.0 3.8042260651806146
64.0 3.6541818305704044
65.0 3.464101615137756
66.0 3.2360679774997902
67.0 2.9725793019095783
68.0 2.676522425435433
69.0 2.3511410091698934
70.0 2.000000000000002
71.0 1.6269465723032008
72.0 1.236067977499791
73.0 0.8316467632710397
74.0 0.4181138530706139
75.0 1.2246063538223773E-15
76.0 -0.4181138530706115
77.0 -0.8316467632710338
78.0 -1.2360679774997885
79.0 -1.6269465723032017
80.0 -1.999999999999997
81.0 -2.3511410091698917
82.0 -2.6765224254354285
83.0 -2.972579301909579
84.0 -3.236067977499789
85.0 -3.4641016151377553
